Job ID: 1.5.18.5702956011984257026 
Case: 2015-TEST-CASE (TEST) 
Appliance: www.dummysite.co.uk 
29/01/2016 13:57:21   Starting scheduled job: 2015-TEST-CASE (TEST) : Process documents from "Batch_Test_0001" in batch "Batch_Test_0001".
02/02/2016 02:57:29   www.dummysite.co.uk Validator         Started
02/02/2016 02:57:39   www.dummysite.co.uk Validator         Processing component: 11% complete. Next update in 15 seconds.
02/02/2016 02:57:59   www.dummysite.co.uk Validator         Processing component: 23% complete. Next update in 15 seconds.
02/02/2016 02:58:19   www.dummysite.co.uk Validator         Processing component: 23% complete. Next update in 15 seconds.
02/02/2016 02:58:39   www.dummysite.co.uk Validator         Processing component: 23% complete. Next update in 15 seconds.
02/02/2016 02:58:59   www.dummysite.co.uk Validator         Processing component: 23% complete. Next update in 15 seconds.
02/02/2016 02:59:19   www.dummysite.co.uk Validator         Processing component: 23% complete. Next update in 15 seconds.
02/02/2016 02:59:39   www.dummysite.co.uk Validator         Processing component: 23% complete. Next update in 15 seconds.
02/02/2016 03:00:39   www.dummysite.co.uk Validator         Processing component: 23% complete. Next update at Tue Feb 02 03:01:39 GMT 2016
02/02/2016 03:01:40   www.dummysite.co.uk Validator         Processing component: 23% complete. Next update at Tue Feb 02 03:02:40 GMT 2016
02/02/2016 03:02:40   www.dummysite.co.uk Validator         Processing component: 23% complete. Next update at Tue Feb 02 03:03:40 GMT 2016
02/02/2016 03:03:40   www.dummysite.co.uk Validator         Processing component: 23% complete. Next update at Tue Feb 02 03:04:40 GMT 2016
02/02/2016 03:04:40   www.dummysite.co.uk Validator         Processing component: 23% complete. Next update at Tue Feb 02 03:05:40 GMT 2016
02/02/2016 03:05:40   www.dummysite.co.uk Validator         Processing component: 23% complete. Next update at Tue Feb 02 03:06:40 GMT 2016
02/02/2016 03:06:40   www.dummysite.co.uk Validator         Processing component: 23% complete. Next update at Tue Feb 02 03:07:40 GMT 2016
02/02/2016 03:07:40   www.dummysite.co.uk Validator         Processing component: 23% complete. Next update at Tue Feb 02 03:08:40 GMT 2016
02/02/2016 03:08:40   www.dummysite.co.uk Validator         Processing component: 82% complete. Next update at Tue Feb 02 03:09:40 GMT 2016
02/02/2016 03:09:40   www.dummysite.co.uk Validator         Processing component: 82% complete. Next update at Tue Feb 02 03:10:40 GMT 2016
02/02/2016 03:10:40   www.dummysite.co.uk Validator         Processing component: 82% complete. Next update at Tue Feb 02 03:11:40 GMT 2016
02/02/2016 03:11:40   www.dummysite.co.uk Validator         Processing component: 82% complete. Next update at Tue Feb 02 03:12:40 GMT 2016
02/02/2016 03:12:41   www.dummysite.co.uk Validator         Processing component: 82% complete. Next update at Tue Feb 02 03:13:41 GMT 2016
02/02/2016 03:13:41   www.dummysite.co.uk Validator         Processing component: 82% complete. Next update at Tue Feb 02 03:14:41 GMT 2016
02/02/2016 03:14:41   www.dummysite.co.uk Validator         Processing component: 82% complete. Next update at Tue Feb 02 03:15:41 GMT 2016
02/02/2016 03:15:41   www.dummysite.co.uk Validator         Processing component: 82% complete. Next update at Tue Feb 02 03:16:41 GMT 2016
02/02/2016 03:16:41   www.dummysite.co.uk Validator         Processing component: 82% complete. Next update at Tue Feb 02 03:17:41 GMT 2016
